Date, Open, High, Low, Close, Volume
08/01/22, 48.15, 48.15, 47.50, 47.70, 31500
07/29/22, 48.00, 48.15, 47.60, 48.00, 8554400
07/28/22, 47.20, 48.30, 46.90, 47.95, 2506700
07/27/22, 46.00, 47.50, 45.20, 46.50, 2197200
07/26/22, 45.90, 45.90, 45.30, 45.50, 179700
07/25/22, 45.00, 45.85, 45.00, 45.20, 189200
07/22/22, 45.00, 45.85, 44.50, 45.00, 305000
07/21/22, 44.00, 44.55, 44.00, 44.50, 4685800
07/20/22, 44.50, 44.90, 44.00, 44.50, 1965500
07/19/22, 45.00, 45.00, 43.90, 44.00, 266700
07/18/22, 44.50, 45.00, 44.00, 44.50, 4758100
07/15/22, 45.00, 46.00, 44.00, 44.55, 723700
07/14/22, 45.00, 45.00, 44.75, 44.90, 52500
07/13/22, 46.00, 46.00, 44.00, 44.80, 140600
07/12/22, 46.00, 47.00, 44.50, 45.45, 1094400
07/08/22, 46.00, 46.50, 45.50, 46.00, 923500
07/07/22, 45.00, 45.50, 44.00, 45.00, 2378200
07/06/22, 45.00, 45.05, 44.00, 44.15, 2029300
07/05/22, 43.75, 44.00, 43.00, 43.15, 2115600
07/04/22, 43.70, 43.70, 43.00, 43.00, 3113400
07/01/22, 43.00, 43.45, 42.00, 43.00, 3507900
06/30/22, 42.45, 43.80, 40.50, 43.00, 1017500
06/29/22, 39.10, 42.00, 39.10, 39.90, 4685200
06/28/22, 39.00, 39.90, 39.00, 39.05, 1128900
06/27/22, 39.30, 39.90, 38.90, 39.00, 1807300
06/24/22, 39.10, 39.10, 39.00, 39.00, 5268200
06/23/22, 39.00, 40.00, 39.00, 39.00, 1066800
06/22/22, 39.00, 39.95, 38.75, 39.00, 282100
06/21/22, 39.90, 40.00, 39.00, 39.75, 2033000
06/20/22, 41.00, 41.00, 39.85, 39.90, 88300
06/17/22, 40.50, 40.90, 39.55, 39.85, 740200
06/16/22, 40.90, 40.90, 40.35, 40.50, 242800
06/15/22, 41.70, 41.70, 40.05, 40.95, 184700
06/14/22, 42.00, 42.20, 41.70, 41.80, 721900
06/13/22, 43.00, 44.00, 42.00, 42.15, 356600
06/10/22, 45.00, 45.00, 43.00, 43.15, 104200
06/09/22, 45.45, 45.45, 44.00, 44.20, 190300
06/08/22, 45.50, 45.95, 45.00, 45.45, 31600
06/07/22, 46.00, 46.00, 45.00, 45.45, 2740000
06/06/22, 46.00, 46.00, 45.20, 45.50, 5183500
06/03/22, 46.00, 46.00, 45.05, 45.50, 1946600
06/02/22, 46.00, 47.00, 45.00, 45.50, 9964800
05/31/22, 45.10, 46.00, 45.00, 45.50, 3292300
05/30/22, 44.90, 46.00, 44.90, 45.20, 117900
05/27/22, 44.00, 45.00, 43.50, 44.00, 67000
05/26/22, 43.00, 44.00, 42.00, 42.90, 335800
05/25/22, 43.00, 43.95, 41.75, 42.00, 4957000
05/24/22, 45.00, 45.00, 41.90, 42.00, 978800
05/23/22, 44.00, 44.50, 40.25, 43.05, 1477600
05/20/22, 45.45, 45.85, 44.00, 44.70, 1858000
05/19/22, 45.85, 47.00, 45.00, 45.60, 90600
05/18/22, 47.00, 47.00, 45.75, 45.85, 366400
05/17/22, 46.50, 46.50, 45.55, 46.25, 90900
05/16/22, 45.05, 46.00, 45.05, 45.60, 247700
05/13/22, 44.65, 46.00, 44.65, 45.50, 2371500
